Unnamed: 0,image_filename,image_caption,image_class
0,image_00001.jpg,a beach with sand dunes and blue sky,Coast
1,image_00002.jpg,a tropical island with white sand and palm trees,Coast
2,image_00003.jpg,four people sit on the beach with umbrellas and chairs,Coast
3,image_00004.jpg,the beautiful beaches of sicily,Coast
4,image_00005.jpg,the beach is a beautiful place to relax and enjoy the sun,Coast
5,image_00006.jpg,a woman standing on the rocks at the beach,Coast
6,image_00007.jpg,an island with thatched huts on it,Coast
7,image_00008.jpg,the beach and the blue sky,Coast
8,image_00009.jpg,the view from the top of a hill overlooking the ocean,Coast
9,image_00010.jpg,a woman on a beach with a book,Coast
10,image_00011.jpg,the beach is empty and clear,Coast
11,image_00012.jpg,the best places to visit in the world,Coast
12,image_00013.jpg,a beach with people walking on the sand,Coast
13,image_00014.jpg,a beach with lounge chairs and umbrellas on the sand,Coast
14,image_00015.jpg,a beautiful beach with waves crashing into the sand,Coast
15,image_00016.jpg,the sign for the hike to the grande cape isle,Coast
16,image_00017.jpg,a lifeguard tower on the beach with blue skies,Coast
17,image_00018.jpg,portugal's best beaches,Coast
18,image_00019.jpg,the view from the top of a hill overlooking the ocean,Coast
19,image_00020.jpg,an aerial view of a beach and cliffs,Coast
20,image_00021.jpg,a boat is anchored in the water near a mountain,Coast
21,image_00022.jpg,the beautiful coast of italy at sunset,Coast
22,image_00023.jpg,the beach is a beautiful white sand beach with turquoise water,Coast
23,image_00024.jpg,ruby beach olympic np the most wild and beautiful place in washington,Coast
24,image_00025.jpg,the best places to visit in thailand,Coast
25,image_00026.jpg,a beach with a few people walking on it,Coast
26,image_00027.jpg,a sandy beach with grass and a fence,Coast
27,image_00028.jpg,a woman in a white dress sitting on the beach,Coast
28,image_00029.jpg,a view of the beach and mountains from inside a cave,Coast
29,image_00030.jpg,a group of people sitting on the beach with boats in the background,Coast
30,image_00031.jpg,the beach is beautiful with blue sky and white sand,Coast
31,image_00032.jpg,free stock photos beach,Coast
32,image_00033.jpg,a beach with thatched huts and a white sand beach,Coast
33,image_00034.jpg,"big sur, california, usa, usa, big sur, big sur, big",Coast
